species,strain,bp,mb,fragments,coverage
Staphylococcus_haemolyticus,Staphylococcus_haemolyticus_GCF_039679085.1_ASM3967908v1_genomic,2662319,2.662319,35497,1.9999669461097638
Staphylococcus_haemolyticus,Staphylococcus_haemolyticus_GCF_049262575.1_ASM4926257v1_genomic,2322835,2.322835,30971,1.9999913898318218
Streptomyces_albus,Streptomyces_albus_GCF_055664385.1_ASM5566438v1_genomic,7899264,7.899264,105323,1.9999901256623402
Streptomyces_albus,Streptomyces_albus_GCF_050367005.1_SALCHL_v1_genomic,7611379,7.611379,101485,1.9999989489421037
Salmonella_enterica,Salmonella_enterica_GCF_055393125.1_ASM5539312v1_genomic,4610633,4.610633,61475,1.999996529760664
Salmonella_enterica,Salmonella_enterica_GCF_055394145.1_ASM5539414v1_genomic,4841728,4.841728,64556,1.9999884338814573
Bordetella_bronchiseptica,Bordetella_bronchiseptica_GCF_051904055.1_ASM5190405v1_genomic,5204326,5.204326,69391,1.9999996157043198
Bordetella_bronchiseptica,Bordetella_bronchiseptica_GCF_056234845.1_ASM5623484v1_genomic,5202144,5.202144,69361,1.9999734724759637
Alicycliphilus_denitrificans,Alicycliphilus_denitrificans_GCF_047946895.1_ASM4794689v1_genomic,4800129,4.800129,64001,1.9999775006046712
Alicycliphilus_denitrificans,Alicycliphilus_denitrificans_GCF_044792555.1_ASM4479255v1_genomic,4490037,4.490037,59867,1.9999946548324659
Clostridium_botulinum,Clostridium_botulinum_GCF_054771325.1_ASM5477132v1_genomic,3953990,3.95399,52719,1.9999671218187198
Clostridium_botulinum,Clostridium_botulinum_GCF_036630055.1_ASM3663005v1_genomic,3887179,3.887179,51829,1.9999979419522487
Euglena_gracilis,Euglena_gracilis_GCA_039621445.1_ASM3962144v1_genomic,2374839547,2374.839547,31664527,1.9999999814724325
Burkholderia_ambifaria,Burkholderia_ambifaria_GCF_049913365.1_ASM4991336v1_genomic,7467149,7.467149,99561,1.9999801798517747
Burkholderia_ambifaria,Burkholderia_ambifaria_GCF_038782865.1_CAMS_ALBA_1.1_genomic,7573820,7.57382,100984,1.9999947186492417
Archaeoglobus_fulgidus,Archaeoglobus_fulgidus_GCF_000734035.1_ASM73403v1_genomic,2316287,2.316287,30883,1.9999464660467376
Archaeoglobus_fulgidus,Archaeoglobus_fulgidus_GCF_900069765.1_ASM90006976v1_genomic,2036821,2.036821,27157,1.9999548315733193
Serratia_marcescens,Serratia_marcescens_GCF_056341065.1_ASM5634106v1_genomic,5008080,5.00808,66774,1.9999880193607131
Serratia_marcescens,Serratia_marcescens_GCF_052836085.1_ASM5283608v1_genomic,4971147,4.971147,66281,1.9999710328421187
Sinorhizobium_meliloti,Sinorhizobium_meliloti_GCF_051042435.1_sm278_1.0_genomic,6802229,6.802229,90696,1.99999147338321
Sinorhizobium_meliloti,Sinorhizobium_meliloti_GCF_051043275.1_sm204_1.0_genomic,7044975,7.044975,93933,2.0
Pectobacterium_atrosepticum,Pectobacterium_atrosepticum_GCF_020406655.2_ASM2040665v2_genomic,4939672,4.939672,65862,1.9999910925259814
Pectobacterium_atrosepticum,Pectobacterium_atrosepticum_GCF_037136065.1_ASM3713606v1_genomic,4930294,4.930294,65737,1.9999922925488824
Halomonas_elongata,Halomonas_elongata_GCF_052384555.1_N1T_genomic,3938528,3.938528,52513,1.9999730863916672
Halomonas_elongata,Halomonas_elongata_GCF_046098145.1_ASM4609814v1_genomic,3928682,3.928682,52382,1.9999837095494113
Streptococcus_infantarius,Streptococcus_infantarius_GCF_053206005.1_ASM5320600v1_genomic,1911017,1.911017,25480,1.999982208426194
Streptococcus_infantarius,Streptococcus_infantarius_GCF_053747995.1_ASM5374799v1_genomic,1836181,1.836181,24482,1.9999662342655762
Bacillus_megaterium,Bacillus_megaterium_GCF_050208505.1_ASM5020850v1_genomic,6065531,6.065531,80873,1.999981535004932
Bacillus_megaterium,Bacillus_megaterium_GCF_053919275.1_ASM5391927v1_genomic,5625849,5.625849,75011,1.9999914679544368
Nocardia_brasiliensis,Nocardia_brasiliensis_GCF_050952925.1_MDNA_WGS_018_assembly_genomic,9746902,9.746902,129958,1.9999893299429912
Clavibacter_michiganensis,Clavibacter_michiganensis_GCF_051040655.1_ASM5104065v1_genomic,3426452,3.426452,45686,1.9999988326116929
Nocardia_brasiliensis,Nocardia_brasiliensis_GCF_053645355.1_ASM5364535v1_genomic,10082946,10.082946,134439,1.9999958345507354
Clavibacter_michiganensis,Clavibacter_michiganensis_GCF_051201705.1_ASM5120170v1_genomic,3257311,3.257311,43430,1.9999625457931405
Klebsiella_pneumoniae,Klebsiella_pneumoniae_GCF_056094515.1_ASM5609451v1_genomic,5122433,5.122433,68299,1.99999687648428
Klebsiella_pneumoniae,Klebsiella_pneumoniae_GCF_056095205.1_ASM5609520v1_genomic,5521468,5.521468,73619,1.9999844244320533
Bacillus_pseudofirmus,Bacillus_pseudofirmus_GCF_036541085.1_ASM3654108v1_genomic,3967166,3.967166,52895,1.9999793303330387
Bacillus_pseudofirmus,Bacillus_pseudofirmus_GCF_032843305.1_ASM3284330v1_genomic,4368590,4.36859,58247,1.9999702421147327
Sinorhizobium_fredii,Sinorhizobium_fredii_GCF_049817555.1_Sf1_genomic,6945374,6.945374,92604,1.9999786908523574
Sinorhizobium_fredii,Sinorhizobium_fredii_GCF_053629355.1_ASM5362935v1_genomic,6985690,6.98569,93142,1.999988548017447
Variovorax_paradoxus,Variovorax_paradoxus_GCF_048310315.1_ASM4831031v1_genomic,7023692,7.023692,93649,1.9999951592410374
Variovorax_paradoxus,Variovorax_paradoxus_GCF_050626895.1_8a8_bc2003_genomic,6299093,6.299093,83987,1.999978409590079
Trypanosoma_brucei,Trypanosoma_brucei_GCF_000002445.2_ASM244v1_genomic,26075494,26.075494,347673,1.9999985426929976
Burkholderia_glumae,Burkholderia_glumae_GCF_052978045.1_ASM5297804v1_genomic,6791583,6.791583,90554,1.9999902820888737
Trypanosoma_brucei,Trypanosoma_brucei_GCF_000210295.1_ASM21029v1_genomic,22148088,22.148088,295307,1.9999943110213396
Burkholderia_glumae,Burkholderia_glumae_GCF_052978065.1_ASM5297806v1_genomic,6801048,6.801048,90680,1.9999858845283844
Acanthamoeba_castellanii,Acanthamoeba_castellanii_GCA_937900865.1_SRR3997477_bin.32_CONCOCT_v1.1_MAG_genomic,6572805,6.572805,87637,1.999990871477246
Gordonia_polyisoprenivorans,Gordonia_polyisoprenivorans_GCF_037413625.1_ASM3741362v1_genomic,6048280,6.04828,80643,1.9999818130113023
Gordonia_polyisoprenivorans,Gordonia_polyisoprenivorans_GCF_053764635.1_ASM5376463v1_genomic,6037271,6.037271,80496,1.9999764794391373
Acanthamoeba_castellanii,Acanthamoeba_castellanii_GCF_000313135.1_Acastellanii.strNEFF_v1_genomic,42019824,42.019824,560264,1.9999988576820311
Kocuria_rhizophila,Kocuria_rhizophila_GCF_045207385.1_ASM4520738v1_genomic,2783905,2.783905,37118,1.9999604871574281
Kocuria_rhizophila,Kocuria_rhizophila_GCF_045207425.1_ASM4520742v1_genomic,2776916,2.776916,37025,1.999970470838873
Cupriavidus_metallidurans,Cupriavidus_metallidurans_GCF_050820565.1_ASM5082056v1_genomic,6823770,6.82377,90983,1.9999868108098602
Cupriavidus_metallidurans,Cupriavidus_metallidurans_GCF_053624355.1_ASM5362435v1_genomic,6713483,6.713483,89513,1.9999976167363498
Moorella_thermoacetica,Moorella_thermoacetica_GCF_037477965.1_MTCOM_genomic,2536557,2.536557,33820,1.999955057189726
Moorella_thermoacetica,Moorella_thermoacetica_GCF_037477925.1_MTMBA_genomic,2751603,2.751603,36688,1.999997819452879
Paenibacillus_polymyxa,Paenibacillus_polymyxa_GCF_052497575.1_ASM5249757v1_genomic,5735683,5.735683,76475,1.9999797757302835
Paenibacillus_polymyxa,Paenibacillus_polymyxa_GCF_055379085.1_ASM5537908v1_genomic,6113148,6.113148,81508,1.9999842961433292
Citrobacter_freundii,Citrobacter_freundii_GCF_052655375.1_ASM5265537v1_genomic,5152322,5.152322,68697,1.9999817557986477
Citrobacter_freundii,Citrobacter_freundii_GCF_052656865.1_ASM5265686v1_genomic,5152322,5.152322,68697,1.9999817557986477
Micavibrio_aeruginosavorus,Micavibrio_aeruginosavorus_GCF_000348745.1_ASM34874v1_genomic,2458610,2.45861,32781,1.9999715286279647
Micavibrio_aeruginosavorus,Micavibrio_aeruginosavorus_GCF_051245535.1_ASM5124553v1_genomic,2463254,2.463254,32843,1.999976453910153
Dickeya_zeae,Dickeya_zeae_GCF_051043325.1_ASM5104332v1_genomic,4604464,4.604464,61392,1.9999722008902665
Dickeya_zeae,Dickeya_zeae_GCF_038396405.1_ASM3839640v1_genomic,4825404,4.825404,64338,1.9999776184543305
Ensifer_adhaerens,Ensifer_adhaerens_GCF_049913305.1_ASM4991330v1_genomic,7439792,7.439792,99197,1.9999954299797629
Ensifer_adhaerens,Ensifer_adhaerens_GCF_023667555.2_MSC11_LR_genomic,7458229,7.458229,99443,1.9999989273592966
Chlamydomonas_reinhardtii,Chlamydomonas_reinhardtii_GCA_975085335.1_CSB430_cp-assembly_v1.1_genomic,205695,0.205695,2742,1.9995624589805294
Dehalococcoides_mccartyi,Dehalococcoides_mccartyi_GCF_055389945.1_ASM5538994v1_genomic,1464191,1.464191,19522,1.9999439963775218
Chlamydomonas_reinhardtii,Chlamydomonas_reinhardtii_GCF_000002595.2_Chlamydomonas_reinhardtii_v5.5_genomic,111098438,111.098438,1481312,1.9999993159219753
Dehalococcoides_mccartyi,Dehalococcoides_mccartyi_GCF_047495565.2_ASM4749556v1_genomic,1514813,1.514813,20197,1.9999498287907485
Serratia_proteamaculans,Serratia_proteamaculans_GCF_977069085.1_FOS124_assembly_genomic,5986976,5.986976,79826,1.9999913144799646
Serratia_proteamaculans,Serratia_proteamaculans_GCF_977069035.1_FOS120_assembly_genomic,5994767,5.994767,79930,1.9999943283867414
Corynebacterium_glutamicum,Corynebacterium_glutamicum_GCF_055695525.1_ASM5569552v1_genomic,3335257,3.335257,44470,1.999995802422422
Corynebacterium_glutamicum,Corynebacterium_glutamicum_GCF_054956965.1_ASM5495696v1_genomic,3343661,3.343661,44582,1.9999934203856193
Corynebacterium_ulcerans,Corynebacterium_ulcerans_GCF_978048395.1_FRC2433_genomic,2479398,2.479398,33058,1.9999612809238372
Corynebacterium_ulcerans,Corynebacterium_ulcerans_GCF_978048405.1_FRC2490_genomic,2480812,2.480812,33077,1.9999701710568958
Mesorhizobium_huakuii,Mesorhizobium_huakuii_GCF_034421895.1_ASM3442189v1_genomic,7212699,7.212699,96169,1.9999933450709644
Mesorhizobium_huakuii,Mesorhizobium_huakuii_GCF_030160235.1_ASM3016023v1_genomic,6842155,6.842155,91228,1.999983923193789
Pseudomonas_fluorescens,Pseudomonas_fluorescens_GCF_977010735.1_H32_03_genomic,6487943,6.487943,86505,1.999979038040254
Pseudomonas_fluorescens,Pseudomonas_fluorescens_GCF_977010475.1_H41_58_genomic,6864477,6.864477,91526,1.9999921334138056
Leuconostoc_gelidum,Leuconostoc_gelidum_GCF_036453025.1_ASM3645302v1_genomic,1878828,1.878828,25051,1.9999968065198093
Leuconostoc_gelidum,Leuconostoc_gelidum_GCF_036453045.1_ASM3645304v1_genomic,1870646,1.870646,24941,1.9999240903944413
Dehalobacter_restrictus,Dehalobacter_restrictus_GCF_040500375.1_ASM4050037v1_genomic,3421806,3.421806,45624,1.99999649307997
Dehalobacter_restrictus,Dehalobacter_restrictus_GCF_009796305.1_ASM979630v1_genomic,3049426,3.049426,40659,1.9999993441388642
Caulobacter_segnis,Caulobacter_segnis_GCF_031454995.1_ASM3145499v1_genomic,4685552,4.685552,62474,1.9999991463118967
Caulobacter_segnis,Caulobacter_segnis_GCF_976997475.1_Caulobacter_sp._R-92714_assembly_genomic,5809943,5.809943,77465,1.9999765918529666
Corynebacterium_pseudotuberculosis,Corynebacterium_pseudotuberculosis_GCF_041080705.1_ASM4108070v1_genomic,2378713,2.378713,31716,1.999989069719634
Corynebacterium_pseudotuberculosis,Corynebacterium_pseudotuberculosis_GCF_045588645.1_ASM4558864v1_genomic,2338815,2.338815,31184,1.999987172991451
Ramlibacter_tataouinensis,Ramlibacter_tataouinensis_GCF_001580455.1_ASM158045v1_genomic,4916630,4.91663,65555,1.9999979660865268
Ramlibacter_tataouinensis,Ramlibacter_tataouinensis_GCF_000215705.1_ASM21570v1_genomic,4070193,4.070193,54269,1.999991155210576
Listeria_ivanovii,Listeria_ivanovii_GCF_041222835.1_ASM4122283v1_genomic,2919242,2.919242,38923,1.9999883531409866
Listeria_ivanovii,Listeria_ivanovii_GCF_045288005.1_ATCC_19119_202309_genomic,2919549,2.919549,38927,1.9999835591045054
Leishmania_major,Leishmania_major_GCA_020783415.1_ASM2078341v1_genomic,32854833,32.854833,438064,1.9999979911631265
Clostridium_tetani,Clostridium_tetani_GCF_037101395.1_ASM3710139v1_genomic,2853896,2.853896,38051,1.999950243456664
Leishmania_major,Leishmania_major_GCA_051013985.1_ASM5101398v1_genomic,32853494,32.853494,438046,1.9999973214416706
Clostridium_tetani,Clostridium_tetani_GCF_054601235.1_ASM5460123v1_genomic,2824109,2.824109,37654,1.999958216910183
Nocardia_farcinica,Nocardia_farcinica_GCF_053588555.1_ASM5358855v1_genomic,6265772,6.265772,83543,1.999984997858205
Hydrogenobacter_thermophilus,Hydrogenobacter_thermophilus_GCF_037924685.1_ASM3792468v1_genomic,1693068,1.693068,22574,1.9999787368256916
Nocardia_farcinica,Nocardia_farcinica_GCF_038244785.1_ASM3824478v1_genomic,6313751,6.313751,84183,1.9999917640084317
Hydrogenobacter_thermophilus,Hydrogenobacter_thermophilus_GCF_018771625.1_ASM1877162v1_genomic,1794458,1.794458,23926,1.999991083658687
Bacteroides_thetaiotaomicron,Bacteroides_thetaiotaomicron_GCA_982344485.1_ERR3261725_bin_3512_genomic,5833384,5.833384,77778,1.9999883429583927
Bacteroides_thetaiotaomicron,Bacteroides_thetaiotaomicron_GCF_041014885.1_Genome_assembly_GPTB0036_genomic,6018559,6.018559,80247,1.9999887016144562
Nitrosotalea_devanaterra,Nitrosotalea_devanaterra_GCA_025450535.1_ASM2545053v1_genomic,970273,0.970273,12936,1.9998495268857321
Erwinia_pyrifoliae,Erwinia_pyrifoliae_GCF_025402895.1_ASM2540289v1_genomic,4161190,4.16119,55482,1.9999807747303056
Erwinia_pyrifoliae,Erwinia_pyrifoliae_GCF_025656905.1_ASM2565690v1_genomic,4183882,4.183882,55785,1.9999966538253229
Trypanosoma_cruzi,Trypanosoma_cruzi_GCA_056321935.1_ASM5632193v1_genomic,30872613,30.872613,411634,1.9999959187128087
Cryptosporidium_hominis,Cryptosporidium_hominis_GCA_045269125.1_SCAU_Ch_1.1_genomic,9131843,9.131843,121757,1.9999851070588928
Cryptosporidium_hominis,Cryptosporidium_hominis_GCA_018342955.1_ASM1834295v1_genomic,9069847,9.069847,120931,1.9999951487605028
Burkholderia_cenocepacia,Burkholderia_cenocepacia_GCF_039728355.1_ASM3972835v1_genomic,8270568,8.270568,110274,1.9999956472155238
Burkholderia_cenocepacia,Burkholderia_cenocepacia_GCF_056109985.1_ASM5610998v1_genomic,7629431,7.629431,101725,1.9999853200061708
Rhodobacter_capsulatus,Rhodobacter_capsulatus_GCF_052363645.1_ASM5236364v1_genomic,4110356,4.110356,54804,1.9999727517519164
Rhodobacter_capsulatus,Rhodobacter_capsulatus_GCF_052363185.1_ASM5236318v1_genomic,3710970,3.71097,49479,1.999975747580821
Escherichia_coli,Escherichia_coli_GCF_055381085.1_ASM5538108v1_genomic,5387133,5.387133,71828,1.9999877485853792
Trypanosoma_cruzi,Trypanosoma_cruzi_GCA_056248245.1_IBU_TCruzi_CLBwt_1_genomic,60793900,60.7939,810585,1.9999991775490633
Escherichia_coli,Escherichia_coli_GCF_055381515.1_ASM5538151v1_genomic,5332071,5.332071,71094,1.9999921231356446
Nitrosomonas_europaea,Nitrosomonas_europaea_GCF_054182965.1_ASM5418296v1_genomic,2810989,2.810989,37479,1.9999544644251543
Nitrosomonas_europaea,Nitrosomonas_europaea_GCF_049306155.1_ASM4930615v1_genomic,2572702,2.572702,34302,1.9999595755746293
Mycobacterium_smegmatis,Mycobacterium_smegmatis_GCF_039889265.1_ASM3988926v1_genomic,6914441,6.914441,92192,1.9999881407622107
Clostridium_stercorarium,Clostridium_stercorarium_GCF_001697285.1_ASM169728v1_genomic,3148357,3.148357,41978,1.99999555323618
Clostridium_stercorarium,Clostridium_stercorarium_GCF_026240815.1_ASM2624081v1_genomic,3029933,3.029933,40399,1.9999947193551804
Pyrococcus_horikoshii,Pyrococcus_horikoshii_GCF_000011105.1_ASM1110v1_genomic,1738505,1.738505,23180,1.9999942479314123
Brevibacillus_brevis,Brevibacillus_brevis_GCF_050466085.1_ASM5046608v1_genomic,6604668,6.604668,88062,1.99999454930967
Brevibacillus_brevis,Brevibacillus_brevis_GCF_050470645.1_ASM5047064v1_genomic,6914796,6.914796,92197,1.999993926068101
Bradyrhizobium_japonicum,Bradyrhizobium_japonicum_GCF_056230635.1_ASM5623063v1_genomic,11656115,11.656115,155414,1.9999888470558158
Bradyrhizobium_japonicum,Bradyrhizobium_japonicum_GCF_048833685.1_ASM4883368v1_genomic,10500313,10.500313,140004,1.9999975238833356
Chlamydia_psittaci,Chlamydia_psittaci_GCF_047936715.1_ASM4793671v1_genomic,1157481,1.157481,15433,1.999989632659197
Chlamydia_psittaci,Chlamydia_psittaci_GCF_048631595.1_ASM4863159v1_genomic,1175887,1.175887,15678,1.9999370687829698
Gallibacterium_anatis,Gallibacterium_anatis_GCF_046115485.1_ASM4611548v1_genomic,2639035,2.639035,35187,1.9999924214722427
Gallibacterium_anatis,Gallibacterium_anatis_GCF_045866335.1_ASM4586633v1_genomic,2663773,2.663773,35516,1.9999451905248682
Bacillus_clausii,Bacillus_clausii_GCF_046112195.1_ASM4611219v1_genomic,4500156,4.500156,60002,1.9999973334257746
Bacillus_clausii,Bacillus_clausii_GCF_040208385.1_Bacillus_clausii_TIL-28S_Complete_genome_genomic,3931276,3.931276,52417,1.9999994912593264
Enterobacter_asburiae,Enterobacter_asburiae_GCF_055386085.1_ASM5538608v1_genomic,5571304,5.571304,74284,1.9999985640704583
Enterobacter_asburiae,Enterobacter_asburiae_GCF_055797035.1_ASM5579703v1_genomic,4565988,4.565988,60879,1.9999724046580938
Pectobacterium_carotovorum,Pectobacterium_carotovorum_GCF_055379845.1_ASM5537984v1_genomic,4983334,4.983334,66444,1.9999863545168757
Pectobacterium_carotovorum,Pectobacterium_carotovorum_GCF_045277235.1_ASM4527723v1_genomic,4954534,4.954534,66060,1.9999862751976272
Campylobacter_concisus,Campylobacter_concisus_GCF_054997735.1_ASM5499773v1_genomic,1876262,1.876262,25016,1.9999339111488694
Campylobacter_concisus,Campylobacter_concisus_GCF_054998475.1_ASM5499847v1_genomic,1860973,1.860973,24812,1.9999215464168476
Bradyrhizobium_diazoefficiens,Bradyrhizobium_diazoefficiens_GCF_055398135.1_ASM5539813v1_genomic,9139292,9.139292,121857,1.9999962797993542
Bradyrhizobium_diazoefficiens,Bradyrhizobium_diazoefficiens_GCF_055397885.1_ASM5539788v1_genomic,9353413,9.353413,124712,1.9999972202660141
Sulfolobus_solfataricus,Sulfolobus_solfataricus_GCF_015654385.1_ASM1565438v1_genomic,3024820,3.02482,40330,1.9999537162541903
Sulfolobus_solfataricus,Sulfolobus_solfataricus_GCF_003852215.1_ASM385221v1_genomic,2668974,2.668974,35586,1.9999820155610357
Methanosarcina_barkeri,Methanosarcina_barkeri_GCF_001316305.1_ASM131630v1_genomic,4458961,4.458961,59452,1.999972639365987
Methanosarcina_barkeri,Methanosarcina_barkeri_GCF_001027005.1_ASM102700v1_genomic,4501171,4.501171,60015,1.9999795608742703
Geobacter_sulfurreducens,Geobacter_sulfurreducens_GCF_035326245.1_ASM3532624v1_genomic,3807331,3.807331,50764,1.999983715626511
Geobacter_sulfurreducens,Geobacter_sulfurreducens_GCF_030297095.1_ASM3029709v1_genomic,4019719,4.019719,53596,1.9999905466028844
Bacillus_thuringiensis,Bacillus_thuringiensis_GCF_979895345.1_SRL215_genomic,6079121,6.079121,81054,1.9999766413598281
Bacillus_thuringiensis,Bacillus_thuringiensis_GCF_979901285.1_SRL224_genomic,6079077,6.079077,81054,1.9999911170725424
Xanthomonas_albilineans,Xanthomonas_albilineans_GCF_054131675.1_ASM5413167v1_genomic,3786194,3.786194,50482,1.99997675766218
Perkinsus_olseni,Perkinsus_olseni_GCA_978019665.1_olseni_genomic,122803688,122.803688,1637382,1.9999993811260783
Xanthomonas_albilineans,Xanthomonas_albilineans_GCF_052063135.1_ASM5206313v1_genomic,3763218,3.763218,50176,1.9999904337192265
Bacillus_cytotoxicus,Bacillus_cytotoxicus_GCF_050876865.1_ASM5087686v1_genomic,4240608,4.240608,56541,1.999984436194055
Bacillus_cytotoxicus,Bacillus_cytotoxicus_GCF_050876905.1_ASM5087690v1_genomic,4026549,4.026549,53687,1.9999880791218485
Francisella_tularensis,Francisella_tularensis_GCF_051048185.1_FSC458_genomic,1892057,1.892057,25227,1.9999661743805817
Perkinsus_olseni,Perkinsus_olseni_GCA_978019485.1_atlanticus_genomic,51405102,51.405102,685401,1.9999989495206136
Francisella_tularensis,Francisella_tularensis_GCF_052692595.1_ASM5269259v1_genomic,1917690,1.91769,25569,1.9999843561785273
Deinococcus_radiodurans,Deinococcus_radiodurans_GCF_965136095.1_CIP104750T_genomic,3240345,3.240345,43204,1.9999722251797263
Deinococcus_radiodurans,Deinococcus_radiodurans_GCF_045277105.1_KDR13939K_1.0_genomic,3285071,3.285071,43800,1.999956774145825
Burkholderia_phenoliruptrix,Burkholderia_phenoliruptrix_GCF_047325075.1_Paph68_v1.0_genomic,6797873,6.797873,90638,1.9999932331774954
Burkholderia_phenoliruptrix,Burkholderia_phenoliruptrix_GCF_050990585.1_ASM5099058v1_genomic,6451923,6.451923,86025,1.9999851207151729
Acinetobacter_oleivorans,Acinetobacter_oleivorans_GCF_053235205.1_ASM5323520v1_genomic,4097948,4.097948,54639,1.999988774869764
Acinetobacter_oleivorans,Acinetobacter_oleivorans_GCF_051989105.1_ASM5198910v1_genomic,4129665,4.129665,55062,1.9999927354882296
Renibacterium_salmoninarum,Renibacterium_salmoninarum_GCF_003343285.1_ASM334328v1_genomic,3155332,3.155332,42071,1.9999955630659467
Renibacterium_salmoninarum,Renibacterium_salmoninarum_GCF_000018885.1_ASM1888v1_genomic,3155250,3.15525,42070,2.0
Haloarcula_marismortui,Haloarcula_marismortui_GCF_018200015.1_ASM1820001v1_genomic,4537128,4.537128,60495,1.9999986775775336
Haloarcula_marismortui,Haloarcula_marismortui_GCF_049705795.1_ASM4970579v1_genomic,3975064,3.975064,53000,1.9999677992605904
Listeria_monocytogenes,Listeria_monocytogenes_GCF_056242145.1_ASM5624214v1_genomic,2950327,2.950327,39337,1.9999647496701214
Listeria_monocytogenes,Listeria_monocytogenes_GCF_056241555.1_ASM5624155v1_genomic,2950327,2.950327,39337,1.9999647496701214
Campylobacter_lari,Campylobacter_lari_GCF_024620605.2_ASM2462060v2_genomic,1531794,1.531794,20423,1.9999099095570292
Campylobacter_lari,Campylobacter_lari_GCF_024620645.2_ASM2462064v2_genomic,1531788,1.531788,20423,1.999917743186394
Bacillus_methylotrophicus,Bacillus_methylotrophicus_GCF_056341095.1_ASM5634109v1_genomic,3910010,3.91001,52133,1.999982097232488
Bacillus_methylotrophicus,Bacillus_methylotrophicus_GCF_979901685.1_SRL244_genomic,3990806,3.990806,53210,1.9999719354937324
Mycobacterium_avium,Mycobacterium_avium_GCF_055396995.1_ASM5539699v1_genomic,5825239,5.825239,77669,1.9999780266526404
Mycobacterium_avium,Mycobacterium_avium_GCF_055396725.1_ASM5539672v1_genomic,5804813,5.804813,77397,1.9999869074163112
Brucella_canis,Brucella_canis_GCF_050496145.1_ASM5049614v1_genomic,3312769,3.312769,44170,1.9999885292333996
Brucella_canis,Brucella_canis_GCF_051133335.1_ASM5113333v1_genomic,3255273,3.255273,43403,1.9999705093858486
Bacillus_atrophaeus,Bacillus_atrophaeus_GCF_051174775.1_ASM5117477v1_genomic,4099881,4.099881,54665,1.99999707308578
Bacillus_atrophaeus,Bacillus_atrophaeus_GCF_051425545.1_ASM5142554v1_genomic,4302183,4.302183,57362,1.9999846589510488
Sphingomonas_wittichii,Sphingomonas_wittichii_GCF_000715175.2_ASM71517v2_genomic,6573352,6.573352,87644,1.999984178543915
Sphingomonas_wittichii,Sphingomonas_wittichii_GCF_054457195.1_ASM5445719v1_genomic,6108112,6.108112,81441,1.9999878849634716
Archaeoglobus_profundus,Archaeoglobus_profundus_GCA_015662635.1_ASM1566263v1_genomic,1150417,1.150417,15338,1.9998835204973502
Archaeoglobus_profundus,Archaeoglobus_profundus_GCA_015662965.1_ASM1566296v1_genomic,1245967,1.245967,16612,1.9998924530103928
Streptococcus_suis,Streptococcus_suis_GCF_054910955.1_ASM5491095v1_genomic,2057250,2.05725,27430,2.0
Streptococcus_suis,Streptococcus_suis_GCF_054910295.1_ASM5491029v1_genomic,2076340,2.07634,27684,1.9999614706647273
Methanococcus_maripaludis,Methanococcus_maripaludis_GCF_040362185.1_ASM4036218v1_genomic,1755831,1.755831,23411,1.9999931656292662
Methanococcus_maripaludis,Methanococcus_maripaludis_GCF_055145725.1_ASM5514572v1_genomic,1586538,1.586538,21153,1.9999205817950783
Legionella_pneumophila,Legionella_pneumophila_GCF_055382355.1_ASM5538235v1_genomic,3595531,3.595531,47940,1.9999827563717292
Legionella_pneumophila,Legionella_pneumophila_GCF_055381875.1_ASM5538187v1_genomic,3600899,3.600899,48011,1.9999588991526838
Rhodococcus_opacus,Rhodococcus_opacus_GCF_020542785.2_ASM2054278v2_genomic,9166292,9.166292,122217,1.999996290757484
Rhodococcus_opacus,Rhodococcus_opacus_GCF_048288345.1_ASM4828834v1_genomic,9109627,9.109627,121461,1.999988583506218
Serratia_plymuthica,Serratia_plymuthica_GCF_977004775.1_ASM97700477v1_genomic,5306217,5.306217,70749,1.9999841695128564
Serratia_plymuthica,Serratia_plymuthica_GCF_055397065.1_ASM5539706v1_genomic,5636345,5.636345,75151,1.9999929032023411
Blastocystis_hominis,Blastocystis_hominis_GCA_981451855.1_SRR30861126_concoct_78_genomic,11894290,11.89429,158590,1.9999932740836148
Methylobacterium_extorquens,Methylobacterium_extorquens_GCF_051522905.1_ASM5152290v1_genomic,5929154,5.929154,79055,1.9999902178287154
Blastocystis_hominis,Blastocystis_hominis_GCA_039096935.1_ASM3909693v1_genomic,15972174,15.972174,212962,1.9999969947735354
Methylobacterium_extorquens,Methylobacterium_extorquens_GCF_977887655.1_IWN032_genomic,5670096,5.670096,75601,1.999992592718007
Pseudomonas_entomophila,Pseudomonas_entomophila_GCF_031312015.1_ASM3131201v1_genomic,5888293,5.888293,78510,1.9999853947485289
Pseudomonas_entomophila,Pseudomonas_entomophila_GCF_029478665.1_ASM2947866v1_genomic,5838355,5.838355,77844,1.9999811590764864
Campylobacter_coli,Campylobacter_coli_GCA_005334465.2_Tricycler_genomic,1729285,1.729285,23057,1.9999884345264083
Campylobacter_coli,Campylobacter_coli_GCF_051048165.1_ASM5104816v1_genomic,1842357,1.842357,24564,1.9999381227416837
Xylella_fastidiosa,Xylella_fastidiosa_GCF_055959565.1_ASM5595956v1_genomic,2619904,2.619904,34932,1.9999969464529999
Xylella_fastidiosa,Xylella_fastidiosa_GCF_055959555.1_ASM5595955v1_genomic,2594979,2.594979,34599,1.9999583811660904
Clostridium_pasteurianum,Clostridium_pasteurianum_GCF_026410065.1_ASM2641006v1_genomic,4470321,4.470321,59604,1.9999906047015417
